t_rel,ok,fail,status
0,2,0,green
1,10,0,green
2,10,0,green
3,10,0,green
4,10,0,green
5,10,0,green
6,10,0,green
7,10,0,green
8,10,0,green
9,10,0,green
10,10,0,green
11,10,0,green
12,10,0,green
13,10,0,green
14,10,0,green
15,10,0,green
16,10,0,green
17,10,0,green
18,10,0,green
19,10,0,green
20,10,0,green
21,10,0,green
22,10,0,green
23,10,0,green
24,10,0,green
25,10,0,green
26,10,0,green
27,10,0,green
28,10,0,green
29,10,0,green
30,10,0,green
31,10,0,green
32,10,0,green
33,10,0,green
34,10,0,green
35,10,0,green
36,10,0,green
37,10,0,green
38,10,0,green
39,10,0,green
40,10,0,green
41,10,0,green
42,10,0,green
43,10,0,green
44,10,0,green
45,10,0,green
46,10,0,green
47,10,0,green
48,10,0,green
49,10,0,green
50,10,0,green
51,10,0,green
52,10,0,green
53,10,0,green
54,10,0,green
55,10,0,green
56,10,0,green
57,10,0,green
58,10,0,green
59,6,4,yellow
60,7,3,yellow
61,7,3,yellow
62,6,4,yellow
63,7,3,yellow
64,7,3,yellow
65,6,4,yellow
66,7,3,yellow
67,7,3,yellow
68,6,4,yellow
69,7,3,yellow
70,7,3,yellow
71,6,4,green
72,7,3,green
73,7,3,green
74,6,4,green
75,7,3,green
76,7,3,green
77,6,4,green
78,7,3,green
79,7,3,green
80,6,4,green
81,7,3,green
82,7,3,green
83,6,4,green
84,7,3,green
85,7,3,green
86,6,4,green
87,7,3,green
88,7,3,green
89,6,4,green
90,7,3,green
91,7,3,green
92,6,4,green
93,7,3,green
94,7,3,green
95,6,4,green
96,7,3,green
97,7,3,green
98,6,4,green
99,7,3,green
100,7,3,green
101,6,4,green
102,7,3,green
103,7,3,green
104,6,4,green
105,7,3,green
106,7,3,green
107,6,4,green
108,7,3,green
109,7,3,green
110,6,4,green
111,7,3,green
112,7,3,green
113,6,4,green
114,7,3,green
115,7,3,green
116,6,4,green
117,7,3,green
118,7,3,green
119,6,4,green
120,7,3,green
121,7,3,green
122,6,4,green
123,7,3,green
124,7,3,green
125,6,4,green
126,7,3,green
127,7,3,green
128,6,4,green
129,7,3,green
130,7,3,green
131,6,4,green
132,7,3,green
133,7,3,green
134,6,4,green
135,7,3,green
136,7,3,green
137,6,4,green
138,7,3,green
139,7,3,green
140,6,4,green
141,7,3,green
142,7,3,green
143,6,4,green
144,7,3,green
145,7,3,green
146,6,4,green
147,7,3,green
148,7,3,green
149,10,0,green
150,10,0,green
151,10,0,green
152,10,0,green
153,10,0,green
154,10,0,green
155,10,0,green
156,10,0,green
157,10,0,green
158,10,0,green
159,10,0,green
160,10,0,green
161,10,0,green
162,10,0,green
163,10,0,green
164,10,0,green
165,10,0,green
166,10,0,green
167,10,0,green
168,10,0,green
169,10,0,green
170,10,0,green
171,10,0,green
172,10,0,green
173,10,0,green
174,10,0,green
175,10,0,green
176,10,0,green
177,10,0,green
178,10,0,green
179,10,0,green
180,9,0,-
