t_rel,ok,fail,status
0,5,0,green
1,10,0,green
2,10,0,green
3,10,0,green
4,10,0,green
5,10,0,green
6,10,0,green
7,10,0,green
8,10,0,green
9,10,0,green
10,10,0,green
11,10,0,green
12,10,0,green
13,10,0,green
14,10,0,green
15,10,0,green
16,10,0,green
17,10,0,green
18,10,0,green
19,10,0,green
20,10,0,green
21,10,0,green
22,10,0,green
23,10,0,green
24,10,0,green
25,10,0,green
26,10,0,green
27,10,0,green
28,10,0,green
29,10,0,green
30,10,0,green
31,10,0,green
32,10,0,green
33,10,0,green
34,10,0,green
35,10,0,green
36,10,0,green
37,10,0,green
38,10,0,green
39,10,0,green
40,10,0,green
41,10,0,green
42,10,0,green
43,10,0,green
44,10,0,green
45,10,0,green
46,10,0,green
47,10,0,green
48,10,0,green
49,10,0,green
50,10,0,green
51,10,0,green
52,10,0,green
53,10,0,green
54,10,0,green
55,10,0,green
56,10,0,green
57,10,0,green
58,10,0,green
59,10,0,green
60,10,0,green
61,10,0,green
62,10,0,green
63,10,0,green
64,5,0,-
65,0,0,-
66,0,0,-
67,0,0,-
68,0,1,-
69,0,0,-
70,1,0,green
71,0,0,-
72,0,0,-
73,0,0,-
74,0,1,-
75,0,0,-
76,0,0,-
77,0,0,-
78,0,1,-
79,0,0,-
80,0,0,-
81,0,0,-
82,0,1,-
83,0,0,-
84,0,0,-
85,0,0,-
86,0,1,-
87,0,0,-
88,0,0,-
89,0,0,-
90,0,1,-
91,0,0,-
92,0,0,-
93,0,0,-
94,0,1,-
95,0,0,-
96,0,0,-
97,0,0,-
98,0,1,-
99,0,0,-
100,1,0,green
101,0,0,-
102,0,0,-
103,0,0,-
104,0,1,-
105,0,0,-
106,0,0,-
107,0,0,-
108,0,1,-
109,0,0,-
110,0,0,-
111,0,0,-
112,0,1,-
113,0,0,-
114,0,0,-
115,0,0,-
116,0,1,-
117,0,0,-
118,0,0,-
119,0,0,-
120,0,1,-
121,0,0,-
122,0,0,-
123,0,0,-
124,0,1,-
125,0,0,-
126,0,0,-
127,0,0,-
128,0,1,-
129,0,0,-
130,0,0,-
131,0,0,-
132,0,1,-
133,0,0,-
134,1,0,green
135,0,0,-
136,0,0,-
137,1,0,-
138,0,0,-
139,0,0,-
140,0,0,-
141,0,1,-
142,0,0,-
143,1,0,green
144,0,0,-
145,1,0,green
146,0,0,-
147,0,0,-
148,0,0,-
149,0,1,-
150,0,0,-
151,1,0,green
152,0,0,-
153,0,0,-
154,0,0,-
155,0,1,-
156,0,0,-
157,0,0,-
158,0,0,-
159,0,1,-
160,0,0,-
161,1,0,yellow
162,0,0,-
163,1,0,yellow
164,0,0,-
165,0,0,-
166,0,0,-
167,0,1,-
168,0,0,-
169,1,0,green
170,0,0,-
171,1,0,green
172,0,0,-
173,39,0,green
174,47,0,green
175,87,0,green
176,90,0,green
177,87,0,green
178,84,0,green
179,84,0,green
180,43,0,-
