Enable succeeded: 
[stdout]
=== killA rows sec 126..152 ===
epoch_ms,wall,sec,ok,fail,ok_total,fail_total,p50,p99,max,err
1781193691981,16:01:31.981,126,1010,0,126193,0,1,2,2,
1781193692981,16:01:32.981,127,1007,0,127200,0,1,2,2,
1781193693981,16:01:33.981,128,1009,0,128209,0,1,2,4,
1781193694982,16:01:34.982,129,1005,0,129217,0,1,2,2,
1781193695982,16:01:35.982,130,1011,0,130225,0,1,2,3,
1781193696983,16:01:36.983,131,1004,0,131229,0,1,2,2,
1781193697983,16:01:37.983,132,1010,0,132239,0,1,2,2,
1781193698983,16:01:38.983,133,1008,0,133247,0,1,2,2,
1781193699984,16:01:39.984,134,972,0,134219,0,1,2,73,
1781193700984,16:01:40.984,135,911,77,135130,77,1,3,10,MQClientException:77
1781193701985,16:01:41.985,136,470,479,135600,556,1,2,2,MQClientException:556
1781193702985,16:01:42.985,137,60,809,135660,1365,1,2,2,MQClientException:1365
1781193703985,16:01:43.985,138,0,818,135660,2183,0,0,0,MQClientException:2183
1781193704985,16:01:44.985,139,0,837,135660,3020,0,0,0,MQClientException:3020
1781193705985,16:01:45.985,140,0,917,135660,3937,0,0,0,MQClientException:3937
1781193706985,16:01:46.985,141,0,932,135660,4869,0,0,0,MQClientException:4869
1781193707986,16:01:47.986,142,0,894,135660,5763,0,0,0,MQClientException:5763
1781193708986,16:01:48.986,143,0,920,135660,6683,0,0,0,MQClientException:6683
1781193709986,16:01:49.986,144,0,894,135660,7577,0,0,0,MQClientException:7577
1781193710986,16:01:50.986,145,0,908,135660,8485,0,0,0,MQClientException:8485
1781193711986,16:01:51.986,146,0,940,135660,9425,0,0,0,MQClientException:9425
1781193712986,16:01:52.986,147,0,943,135660,10368,0,0,0,MQClientException:10368
1781193713986,16:01:53.986,148,0,911,135660,11279,0,0,0,MQClientException:11279
1781193714986,16:01:54.986,149,0,902,135660,12181,0,0,0,MQClientException:12181
1781193715987,16:01:55.987,150,56,870,135716,13051,2,20,20,MQClientException:13051
1781193716987,16:01:56.987,151,1013,0,136729,13051,1,2,5,MQClientException:13051
1781193717987,16:01:57.987,152,1009,0,137738,13051,1,2,5,MQClientException:13051
=== PRODUCE_DONE ===
PRODUCE_DONE okTotal=226001 failTotal=13051 runId=killA

[stderr]

