Enable succeeded: 
[stdout]
=== r2killA rows sec 95..160 ===
epoch_ms,wall,sec,ok,fail,ok_total,fail_total,p50,p99,max,err
1781233560620,03:06:00.620,95,1008,0,95623,0,1,2,2,
1781233561620,03:06:01.620,96,1012,0,96635,0,1,2,2,
1781233562620,03:06:02.620,97,1004,0,97640,0,1,2,2,
1781233563621,03:06:03.621,98,1008,0,98648,0,1,2,2,
1781233564621,03:06:04.621,99,1009,0,99656,0,1,2,2,
1781233565622,03:06:05.622,100,1012,0,100668,0,1,2,2,
1781233566622,03:06:06.622,101,1008,0,101676,0,1,2,2,
1781233567622,03:06:07.622,102,1009,0,102685,0,1,2,2,
1781233568623,03:06:08.623,103,1003,0,103688,0,1,1,2,
1781233569623,03:06:09.623,104,1011,0,104699,0,1,2,2,
1781233570624,03:06:10.624,105,1009,0,105709,0,1,1,2,
1781233571624,03:06:11.624,106,1011,0,106719,0,1,2,2,
1781233572624,03:06:12.624,107,1009,0,107728,0,1,2,2,
1781233573625,03:06:13.625,108,1002,0,108730,0,1,1,2,
1781233574625,03:06:14.625,109,1007,0,109737,0,1,2,2,
1781233575626,03:06:15.626,110,1009,0,110746,0,1,2,3,
1781233576626,03:06:16.626,111,1009,0,111756,0,1,2,2,
1781233577626,03:06:17.626,112,1006,0,112763,0,1,2,2,
1781233578627,03:06:18.627,113,1012,0,113773,0,1,1,2,
1781233579627,03:06:19.627,114,1013,0,114786,0,1,1,2,
1781233580628,03:06:20.628,115,1008,0,115796,0,1,2,2,
1781233581628,03:06:21.628,116,1009,0,116805,0,1,2,11,
1781233582628,03:06:22.628,117,1010,0,117813,0,1,2,2,
1781233583629,03:06:23.629,118,1008,0,118821,0,1,2,2,
1781233584629,03:06:24.629,119,1011,0,119832,0,1,2,2,
1781233585629,03:06:25.629,120,1010,0,120842,0,1,2,2,
1781233586630,03:06:26.630,121,1010,0,121852,0,1,2,2,
1781233587630,03:06:27.630,122,1006,0,122858,0,1,1,2,
1781233588630,03:06:28.630,123,1010,0,123868,0,1,1,1,
1781233589631,03:06:29.631,124,1008,0,124876,0,1,1,2,
1781233590631,03:06:30.631,125,1008,0,125884,0,1,2,2,
1781233591632,03:06:31.632,126,1006,0,126891,0,1,2,2,
1781233592632,03:06:32.632,127,1011,0,127901,0,1,2,2,
1781233593632,03:06:33.632,128,1013,0,128914,0,1,1,2,
1781233594633,03:06:34.633,129,1013,0,129928,0,1,1,2,
1781233595633,03:06:35.633,130,1005,0,130933,0,1,1,2,
1781233596634,03:06:36.634,131,1011,0,131943,0,1,1,2,
1781233597634,03:06:37.634,132,1007,0,132950,0,1,2,2,
1781233598634,03:06:38.634,133,1008,0,133958,0,1,2,2,
1781233599635,03:06:39.635,134,1010,0,134968,0,1,1,2,
=== PRODUCE_DONE ===

[stderr]

