Enable succeeded: 
[stdout]
=== r2killA rows sec 138..175 ===
epoch_ms,wall,sec,ok,fail,ok_total,fail_total,p50,p99,max,err
1781233603636,03:06:43.636,138,1006,0,139002,0,1,2,2,
1781233604636,03:06:44.636,139,1008,0,140012,0,1,2,2,
1781233605637,03:06:45.637,140,1007,0,141017,0,1,1,1,
1781233606637,03:06:46.637,141,1012,0,142029,0,1,1,2,
1781233607638,03:06:47.638,142,1009,0,143038,0,1,2,2,
1781233608638,03:06:48.638,143,1001,0,144039,0,1,6,17,
1781233609638,03:06:49.638,144,1000,0,145039,0,1,13,29,
1781233610639,03:06:50.639,145,1006,0,146045,0,1,10,14,
1781233611639,03:06:51.639,146,1005,0,147050,0,1,9,13,
1781233612639,03:06:52.639,147,1000,0,148050,0,1,13,18,
1781233613640,03:06:53.640,148,993,0,149043,0,1,14,18,
1781233614640,03:06:54.640,149,1003,0,150046,0,1,13,21,
1781233615640,03:06:55.640,150,996,0,151042,0,1,16,29,
1781233616641,03:06:56.641,151,1010,0,152052,0,1,1,2,
1781233617641,03:06:57.641,152,1010,0,153062,0,1,1,1,
1781233618641,03:06:58.641,153,1010,0,154072,0,1,2,2,
1781233619641,03:06:59.641,154,1011,0,155083,0,1,1,1,
1781233620642,03:07:00.642,155,1017,0,156100,0,1,1,1,
1781233621642,03:07:01.642,156,1010,0,157110,0,1,1,2,
1781233622642,03:07:02.642,157,1016,0,158126,0,1,1,1,
1781233623643,03:07:03.643,158,1017,0,159143,0,1,1,1,
1781233624643,03:07:04.643,159,1008,0,160151,0,1,2,2,
1781233625643,03:07:05.643,160,1012,0,161163,0,1,1,2,
1781233626644,03:07:06.644,161,1019,0,162182,0,1,1,2,
1781233627644,03:07:07.644,162,1012,0,163194,0,1,1,1,
1781233628644,03:07:08.644,163,1010,0,164204,0,1,1,1,
1781233629645,03:07:09.645,164,1010,0,165214,0,1,1,1,
1781233630645,03:07:10.645,165,1012,0,166226,0,1,2,3,
1781233631645,03:07:11.645,166,1014,0,167240,0,1,1,1,
1781233632646,03:07:12.646,167,1013,0,168253,0,1,1,1,
1781233633646,03:07:13.646,168,1017,0,169270,0,1,1,1,
1781233634646,03:07:14.646,169,1013,0,170283,0,1,1,1,
1781233635646,03:07:15.646,170,1017,0,171300,0,1,1,1,
1781233636647,03:07:16.647,171,1015,0,172315,0,1,1,1,
1781233637647,03:07:17.647,172,1014,0,173329,0,1,1,1,
1781233638647,03:07:18.647,173,1016,0,174345,0,1,1,1,
1781233639648,03:07:19.648,174,1021,0,175366,0,1,1,2,
1781233640648,03:07:20.648,175,1017,0,176384,0,1,1,1,
=== PRODUCE_DONE ===

[stderr]

