Enable succeeded: 
[stdout]
ption:4
1781234643536,03:24:03.536,149,0,0,144550,6,0,0,0,MQClientException:2|RemotingTooMuchRequestException:4
1781234644536,03:24:04.536,150,78,2,144628,8,2,2931,2931,MQClientException:2|RemotingTooMuchRequestException:6
1781234645537,03:24:05.537,151,0,0,144628,8,0,0,0,MQClientException:2|RemotingTooMuchRequestException:6
1781234646537,03:24:06.537,152,0,0,144628,8,0,0,0,MQClientException:2|RemotingTooMuchRequestException:6
1781234647537,03:24:07.537,153,72,10,144700,18,2,16,16,MQClientException:3|RemotingTooMuchRequestException:15
1781234648538,03:24:08.538,154,0,0,144700,18,0,0,0,MQClientException:3|RemotingTooMuchRequestException:15
1781234649538,03:24:09.538,155,0,0,144700,18,0,0,0,MQClientException:3|RemotingTooMuchRequestException:15
1781234650538,03:24:10.538,156,79,1,144779,19,1,2924,2924,MQClientException:3|RemotingTooMuchRequestException:16
1781234651538,03:24:11.538,157,0,0,144779,19,0,0,0,MQClientException:3|RemotingTooMuchRequestException:16
1781234652539,03:24:12.539,158,0,0,144779,19,0,0,0,MQClientException:3|RemotingTooMuchRequestException:16
1781234653539,03:24:13.539,159,40,10,144819,29,1,13,13,MQClientException:8|RemotingTooMuchRequestException:21
1781234654539,03:24:14.539,160,0,0,144819,29,0,0,0,MQClientException:8|RemotingTooMuchRequestException:21
1781234655539,03:24:15.539,161,0,0,144819,29,0,0,0,MQClientException:8|RemotingTooMuchRequestException:21
1781234656540,03:24:16.540,162,56,7,144875,36,1,2937,2937,MQClientException:11|RemotingTooMuchRequestException:25
1781234657540,03:24:17.540,163,0,0,144875,36,0,0,0,MQClientException:11|RemotingTooMuchRequestException:25
1781234658540,03:24:18.540,164,0,0,144875,36,0,0,0,MQClientException:11|RemotingTooMuchRequestException:25
1781234659541,03:24:19.541,165,32,10,144907,46,1,76,76,MQClientException:19|RemotingTooMuchRequestException:27
1781234660541,03:24:20.541,166,0,0,144907,46,0,0,0,MQClientException:19|RemotingTooMuchRequestException:27
1781234661541,03:24:21.541,167,0,0,144907,46,0,0,0,MQClientException:19|RemotingTooMuchRequestException:27
1781234662542,03:24:22.542,168,40,10,144947,56,1,38,38,MQClientException:24|RemotingTooMuchRequestException:32
1781234663542,03:24:23.542,169,0,0,144947,56,0,0,0,MQClientException:24|RemotingTooMuchRequestException:32
1781234664542,03:24:24.542,170,0,0,144947,56,0,0,0,MQClientException:24|RemotingTooMuchRequestException:32
1781234665542,03:24:25.542,171,61,6,145008,62,2,2921,2921,MQClientException:26|RemotingTooMuchRequestException:36
1781234666543,03:24:26.543,172,0,0,145008,62,0,0,0,MQClientException:26|RemotingTooMuchRequestException:36
1781234667543,03:24:27.543,173,0,0,145008,62,0,0,0,MQClientException:26|RemotingTooMuchRequestException:36
1781234668543,03:24:28.543,174,16,10,145024,72,1,80,80,MQClientException:35|RemotingTooMuchRequestException:37
1781234669543,03:24:29.543,175,0,0,145024,72,0,0,0,MQClientException:35|RemotingTooMuchRequestException:37
1781234670543,03:24:30.543,176,0,0,145024,72,0,0,0,MQClientException:35|RemotingTooMuchRequestException:37
1781234671544,03:24:31.544,177,32,10,145056,82,2,17,17,MQClientException:38|RemotingTooMuchRequestException:44
1781234672544,03:24:32.544,178,0,0,145056,82,0,0,0,MQClientException:38|RemotingTooMuchRequestException:44
1781234673544,03:24:33.544,179,0,0,145056,82,0,0,0,MQClientException:38|RemotingTooMuchRequestException:44
1781234674544,03:24:34.544,180,88,2,145144,84,1,2997,2997,MQClientException:38|RemotingTooMuchRequestException:46
1781234675544,03:24:35.544,181,1007,0,146151,84,1,2,2,MQClientException:38|RemotingTooMuchRequestException:46
1781234676545,03:24:36.545,182,1007,0,147160,84,1,2,2,MQClientException:38|RemotingTooMuchRequestException:46
1781234677546,03:24:37.546,183,1009,0,148167,84,1,2,2,MQClientException:38|RemotingTooMuchRequestException:46
1781234678546,03:24:38.546,184,1010,0,149177,84,1,2,2,MQClientException:38|RemotingTooMuchRequestException:46
1781234679546,03:24:39.546,185,1005,0,150182,84,1,2,2,MQClientException:38|RemotingTooMuchRequestException:46
=== PRODUCE_DONE ===
PRODUCE_DONE okTotal=205537 failTotal=84 runId=r2stopA

[stderr]

