Enable succeeded: 
[stdout]
=== stopA rows sec 135..178 ===
epoch_ms,wall,sec,ok,fail,ok_total,fail_total,p50,p99,max,err
1781194867555,16:21:07.555,135,1007,0,135526,0,1,2,2,
1781194868556,16:21:08.556,136,1007,0,136532,0,1,2,2,
1781194869556,16:21:09.556,137,1005,0,137537,0,1,2,2,
1781194870556,16:21:10.556,138,1007,0,138544,0,1,2,2,
1781194871557,16:21:11.557,139,1005,0,139549,0,1,2,2,
1781194872557,16:21:12.557,140,1009,0,140558,0,1,2,2,
1781194873558,16:21:13.558,141,1005,0,141564,0,1,2,2,
1781194874558,16:21:14.558,142,1008,0,142571,0,1,2,2,
1781194875558,16:21:15.558,143,1007,0,143578,0,1,2,2,
1781194876559,16:21:16.559,144,1008,0,144586,0,1,2,2,
1781194877559,16:21:17.559,145,1001,0,145587,0,1,2,2,
1781194878560,16:21:18.560,146,1006,0,146596,0,1,1,2,
1781194879560,16:21:19.560,147,1010,0,147603,0,1,2,2,
1781194880560,16:21:20.560,148,1000,0,148603,0,1,2,2,
1781194881561,16:21:21.561,149,1007,0,149610,0,1,1,2,
1781194882561,16:21:22.561,150,1005,0,150615,0,1,1,2,
1781194883562,16:21:23.562,151,1005,0,151620,0,1,2,2,
1781194884562,16:21:24.562,152,1002,0,152622,0,1,2,2,
1781194885562,16:21:25.562,153,1004,0,153626,0,1,2,2,
1781194886563,16:21:26.563,154,1002,0,154628,0,1,2,2,
1781194887563,16:21:27.563,155,1007,0,155636,0,1,2,2,
1781194888564,16:21:28.564,156,998,0,156634,0,1,2,4,
1781194889564,16:21:29.564,157,1008,0,157642,0,1,1,2,
1781194890564,16:21:30.564,158,1006,0,158648,0,1,2,2,
1781194891565,16:21:31.565,159,1003,0,159650,0,1,2,4,
1781194892565,16:21:32.565,160,1006,0,160656,0,1,2,4,
1781194893565,16:21:33.565,161,1001,0,161657,0,1,2,2,
1781194894566,16:21:34.566,162,1005,0,162662,0,1,2,4,
1781194895566,16:21:35.566,163,1002,0,163664,0,1,2,2,
1781194896567,16:21:36.567,164,1005,0,164669,0,1,1,2,
1781194897567,16:21:37.567,165,1007,0,165676,0,1,2,2,
1781194898567,16:21:38.567,166,1006,0,166683,0,1,2,2,
1781194899568,16:21:39.568,167,1003,0,167687,0,1,2,2,
1781194900568,16:21:40.568,168,1008,0,168693,0,1,2,2,
1781194901568,16:21:41.568,169,1004,0,169697,0,1,2,2,
1781194902569,16:21:42.569,170,1004,0,170701,0,1,2,2,
1781194903569,16:21:43.569,171,1004,0,171705,0,1,2,2,
1781194904570,16:21:44.570,172,1004,0,172709,0,1,2,2,
1781194905570,16:21:45.570,173,1004,0,173713,0,1,2,8,
1781194906570,16:21:46.570,174,1001,0,174714,0,1,2,2,
1781194907571,16:21:47.571,175,1007,0,175721,0,1,2,2,
1781194908571,16:21:48.571,176,1004,0,176725,0,1,2,3,
1781194909571,16:21:49.571,177,1005,0,177731,0,1,1,2,
1781194910572,16:21:50.572,178,1004,0,178737,0,1,2,2,
=== PRODUCE_DONE ===

[stderr]

