Enable succeeded: 
[stdout]
214,154,1004,0,154604,0,1,1,2,
1781195951215,16:39:11.215,155,1003,0,155607,0,1,2,2,
1781195952215,16:39:12.215,156,944,0,156551,0,1,1,2,
1781195953216,16:39:13.216,157,0,0,156551,0,0,0,0,
1781195954216,16:39:14.216,158,0,0,156551,0,0,0,0,
1781195955216,16:39:15.216,159,0,10,156551,10,0,0,0,MQClientException:10
1781195956216,16:39:16.216,160,0,0,156551,10,0,0,0,MQClientException:10
1781195957217,16:39:17.217,161,0,0,156551,10,0,0,0,MQClientException:10
1781195958217,16:39:18.217,162,0,10,156551,20,0,0,0,MQClientException:20
1781195959217,16:39:19.217,163,0,0,156551,20,0,0,0,MQClientException:20
1781195960217,16:39:20.217,164,0,0,156551,20,0,0,0,MQClientException:20
1781195961218,16:39:21.218,165,0,10,156551,30,0,0,0,MQClientException:30
1781195962218,16:39:22.218,166,0,0,156551,30,0,0,0,MQClientException:30
1781195963218,16:39:23.218,167,0,0,156551,30,0,0,0,MQClientException:30
1781195964218,16:39:24.218,168,0,10,156551,40,0,0,0,MQClientException:40
1781195965219,16:39:25.219,169,0,0,156551,40,0,0,0,MQClientException:40
1781195966219,16:39:26.219,170,0,0,156551,40,0,0,0,MQClientException:40
1781195967219,16:39:27.219,171,0,11,156551,51,0,0,0,MQClientException:51
1781195968219,16:39:28.219,172,0,0,156551,51,0,0,0,MQClientException:51
1781195969220,16:39:29.220,173,0,0,156551,51,0,0,0,MQClientException:51
1781195970220,16:39:30.220,174,0,11,156551,62,0,0,0,MQClientException:62
1781195971220,16:39:31.220,175,0,0,156551,62,0,0,0,MQClientException:62
1781195972221,16:39:32.221,176,0,0,156551,62,0,0,0,MQClientException:62
1781195973221,16:39:33.221,177,0,10,156551,72,0,0,0,MQClientException:72
1781195974221,16:39:34.221,178,0,0,156551,72,0,0,0,MQClientException:72
1781195975221,16:39:35.221,179,0,0,156551,72,0,0,0,MQClientException:72
1781195976221,16:39:36.221,180,0,17,156551,89,0,0,0,MQClientException:89
1781195977222,16:39:37.222,181,0,0,156551,89,0,0,0,MQClientException:89
1781195978222,16:39:38.222,182,0,0,156551,89,0,0,0,MQClientException:89
1781195979222,16:39:39.222,183,80,10,156631,99,1,3,3,MQClientException:99
1781195980222,16:39:40.222,184,1009,0,157641,99,1,2,3,MQClientException:99
1781195981223,16:39:41.223,185,1005,0,158646,99,1,2,2,MQClientException:99
1781195982223,16:39:42.223,186,1003,0,159648,99,1,2,2,MQClientException:99
1781195983224,16:39:43.224,187,1000,0,160648,99,1,2,7,MQClientException:99
1781195984224,16:39:44.224,188,1003,0,161651,99,1,2,2,MQClientException:99
1781195985225,16:39:45.225,189,1004,0,162655,99,1,2,2,MQClientException:99
1781195986225,16:39:46.225,190,1005,0,163660,99,1,2,2,MQClientException:99
1781195987225,16:39:47.225,191,1002,0,164662,99,1,2,2,MQClientException:99
1781195988226,16:39:48.226,192,1005,0,165667,99,1,2,2,MQClientException:99
1781195989226,16:39:49.226,193,1004,0,166671,99,1,2,2,MQClientException:99
1781195990226,16:39:50.226,194,1004,0,167675,99,1,2,2,MQClientException:99
1781195991227,16:39:51.227,195,1002,0,168677,99,1,2,2,MQClientException:99
1781195992227,16:39:52.227,196,1003,0,169680,99,1,2,2,MQClientException:99
1781195993227,16:39:53.227,197,1004,0,170684,99,1,2,5,MQClientException:99
1781195994228,16:39:54.228,198,1006,0,171690,99,1,2,4,MQClientException:99
1781195995228,16:39:55.228,199,1003,0,172693,99,1,2,3,MQClientException:99
1781195996228,16:39:56.228,200,1000,0,173693,99,1,2,2,MQClientException:99
1781195997229,16:39:57.229,201,1003,0,174696,99,1,2,2,MQClientException:99
1781195998229,16:39:58.229,202,1007,0,175703,99,1,2,2,MQClientException:99
1781195999230,16:39:59.230,203,1001,0,176704,99,1,1,2,MQClientException:99
1781196000230,16:40:00.230,204,1004,0,177708,99,1,2,2,MQClientException:99
1781196001230,16:40:01.230,205,1005,0,178713,99,1,2,2,MQClientException:99
1781196002231,16:40:02.231,206,1006,0,179719,99,1,2,2,MQClientException:99
1781196003231,16:40:03.231,207,1000,0,180719,99,1,2,2,MQClientException:99
1781196004231,16:40:04.231,208,1001,0,181720,99,1,2,2,MQClientException:99
1781196005232,16:40:05.232,209,1007,0,182727,99,1,2,2,MQClientException:99
1781196006232,16:40:06.232,210,1001,0,183728,99,1,2,3,MQClientException:99
=== PRODUCE_DONE ===

[stderr]

